Experiment: Core solvers					
Instance	time	Modularity	Variables	Clauses	Communities
UTI-20-10p0.cnf	5000.19				
AProVE09-06.cnf	5.61215				
dated-5-13-u.cnf	5000.09				
003.cnf	5000.11				
dated-10-13-u.cnf	642.059				
pb_300_04_lb_06.cnf	5000.07				
10pipe_k.cnf	5000.3				
pb_300_05_lb_16.cnf	5000.08				
9pipe_k.cnf	4109.06				
8pipe_k.cnf	824.636				
7pipe_k.cnf	939.07				
10pipe_q0_k.cnf	2451.88				
pb_400_05_lb_00.cnf	5000.1				
11pipe_q0_k.cnf	2852.87				
8pipe_q0_k.cnf	5000.25				
pb_300_06_lb_02.cnf	338.211				
pb_200_05_lb_00.cnf	5000.06				
pb_200_10_lb_15.cnf	5000.08				
pb_300_09_lb_07.cnf	5000.24				
minxor128.cnf	5000.06				
pb_300_01_lb_00.cnf	117.183				
pb_300_05_lb_17.cnf	5000.18				
pb_400_03_lb_07.cnf	5000.1				
pb_300_02_lb_06.cnf	5000.31				
pb_300_10_lb_06.cnf	5000.15				
pb_300_10_lb_13.cnf	5000.14				
pb_300_04_lb_05.cnf	3046.82				
pb_300_05_lb_11.cnf	5000.07				
p01_lb_05.cnf	5000.11				
pb_400_09_lb_02.cnf	2833.47				
pb_200_03_lb_01.cnf	1419.62				
SAT_dat.k65.cnf	5000.1				
hitag2-10-60-0-0xe14721bd199894a-99.cnf	3070.38				
pb_300_02_lb_07.cnf	528.167				
pb_200_03_lb_02.cnf	5000.12				
arcfour_initialPermutation_6_15.cnf	1034.81				
6s20.cnf	5000.05				
pb_300_03_lb_13.cnf	5000.16				
hitag2-10-60-0-0xb7b72dfef34c17b-39.cnf	2644.72				
pb_400_09_lb_04.cnf	5000.19				
hitag2-10-60-0-0xbc15b17d0353413-10.cnf	2083.86				
hitag2-10-60-0-0xa360966c6eb75c4-62.cnf	3272.18				
pb_300_10_lb_12.cnf	1432.62				
pb_400_09_lb_03.cnf	5000.15				
md5_48_2.cnf	3066.18				
md5_47_1.cnf	95.4825				
001.cnf	5000.09				
md5_47_2.cnf	139.721				
001.cnf	131.272				
001.cnf	2702.55				
001.cnf	5000.05				
002.cnf	5000.05				
002.cnf	5000.1				
002.cnf	5000.04				
003.cnf	5000.06				
aes_24_4_keyfind_2.cnf	1373.04				
aes_24_4_keyfind_4.cnf	1716.47				
003.cnf	1926.37				
003.cnf	653.198				
bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98.cnf	1195.88				
hitag2-7-60-0-0xe8fa35372ed37e2-80.cnf	3910.91				
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf	1595.28				
004.cnf	1440.76				
004.cnf	1040.53				
007.cnf	5000.05				
